,jid,spg_number,spg_symbol,formula,formation_energy_peratom,func,optb88vdw_bandgap
52,JVASP-98036,65,Cmmm,Ce3Si8Ni2,-0.56642,OptB88vdW,0
53,JVASP-98088,2,P-1,SrV4Bi6O20,-2.12573,OptB88vdW,2.644
54,JVASP-22587,221,Pm-3m,RbVF3,-2.55295,OptB88vdW,0
55,JVASP-89957,139,I4/mmm,Sr2Ti2As2OF2,-2.53538,OptB88vdW,0
56,JVASP-18912,221,Pm-3m,YMg,-0.10473,OptB88vdW,0
57,JVASP-90428,225,Fm-3m,NiN6Cl2,2.71694,OptB88vdW,0
58,JVASP-48091,31,Pmn2_1,MnOF,-2.10085,OptB88vdW,0
59,JVASP-29104,156,P3m1,Te6Mo3WSe2,-0.27116,OptB88vdW,0.451
60,JVASP-64427,216,F-43m,Ba4MgBi,0.131,OptB88vdW,0
61,JVASP-64129,216,F-43m,KBaZn,0.3128,OptB88vdW,0
62,JVASP-64090,216,F-43m,Ba4MnW,1.80863,OptB88vdW,0
63,JVASP-64314,216,F-43m,Ba4VSe,0.53175,OptB88vdW,0
64,JVASP-63956,216,F-43m,Ba4TaIn,0.92665,OptB88vdW,0
65,JVASP-107735,10,P2/m,TiCrAgS4,-0.90342,OptB88vdW,0
66,JVASP-64861,216,F-43m,Ba4NbBi,0.65832,OptB88vdW,0
67,JVASP-64780,216,F-43m,Ba4CaSn,0.16814,OptB88vdW,0
68,JVASP-98798,14,P2_1/c,KMoP2O8,-2.27198,OptB88vdW,0.902
69,JVASP-64512,216,F-43m,Ba4HgSb,0.09779,OptB88vdW,0
70,JVASP-53301,216,F-43m,UNiSn,0.5848,OptB88vdW,0
71,JVASP-64184,216,F-43m,Ba4CdSe,0.0668,OptB88vdW,0
72,JVASP-64945,216,F-43m,MnBeIr4,0.76069,OptB88vdW,0
73,JVASP-86322,194,P6_3/mmc,LiO,-1.61471,OptB88vdW,2.147
74,JVASP-14756,225,Fm-3m,USb,-0.17167,OptB88vdW,0
75,JVASP-16079,225,Fm-3m,Cr,0.3834,OptB88vdW,0
76,JVASP-47529,65,Cmmm,MnCoO4,-1.45226,OptB88vdW,0
77,JVASP-91520,166,R-3m,LaAlH6,-0.4228,OptB88vdW,2.583
78,JVASP-22670,225,Fm-3m,Rb2MnCl6,-1.34678,OptB88vdW,0
79,JVASP-97623,2,P-1,Ag2F5,-1.18575,OptB88vdW,0
80,JVASP-49836,221,Pm-3m,CeTiO3,-3.35291,OptB88vdW,0
81,JVASP-28959,156,P3m1,Te2MoWSeS,-0.379,OptB88vdW,0.224
82,JVASP-15810,225,Fm-3m,LiSiCu2,-0.1977,OptB88vdW,0
83,JVASP-90114,166,R-3m,Zn2Ga2S5,-0.69686,OptB88vdW,0.813
84,JVASP-1390,225,Fm-3m,SrO,-3.02565,OptB88vdW,3.405
85,JVASP-47962,164,P-3m1,Li2VO2F,-2.67509,OptB88vdW,0
86,JVASP-1879,166,R-3m,NaVO2,-2.26988,OptB88vdW,0
87,JVASP-98688,86,P4_2/n,Nb3Si,-0.38706,OptB88vdW,0
88,JVASP-5482,160,R3m,CSO,-0.53181,OptB88vdW,4.642
89,JVASP-18433,166,R-3m,LiNiO2,-1.44752,OptB88vdW,0
90,JVASP-29024,156,P3m1,Te4MoW,-0.11943,OptB88vdW,0.9
91,JVASP-97985,167,R-3c,SnHgO3,-1.13228,OptB88vdW,0
92,JVASP-22721,136,P4_2/mnm,PbBr2,-0.90725,OptB88vdW,2.64
93,JVASP-86154,123,P4/mmm,Fe2B,0.07844,OptB88vdW,0
94,JVASP-32197,57,Pbcm,HgHClO4,-0.23818,OptB88vdW,2.657
95,JVASP-16112,189,P-62m,YbAsPd,-1.05977,OptB88vdW,0
96,JVASP-85557,194,P6_3/mmc,EuCuBi,-0.45383,OptB88vdW,0
97,JVASP-43739,63,Cmcm,LiFeF3,-2.4143,OptB88vdW,0
98,JVASP-3828,225,Fm-3m,K2TcCl6,-1.41944,OptB88vdW,0.995
99,JVASP-91564,129,P4/nmm,SmSb2Au,-0.69108,OptB88vdW,0
100,JVASP-97732,141,I4_1/amd,LaMgSi2,-0.59934,OptB88vdW,0
101,JVASP-43842,5,C2,V6O7F5,-2.68429,OptB88vdW,0
102,JVASP-98494,62,Pnma,Nd3S2Br5,-2.09659,OptB88vdW,2.895
103,JVASP-89901,12,C2/m,Ho3Co2Ge4,-0.73138,OptB88vdW,0
104,JVASP-4729,194,P6_3/mmc,YAl3,0.44663,OptB88vdW,0
105,JVASP-97336,15,C2/c,Sr2TaN3,-1.36257,OptB88vdW,2.498
106,JVASP-63913,216,F-43m,Ba4YRh,0.81326,OptB88vdW,0
107,JVASP-87903,71,Immm,BaSm2CoO5,-2.88803,OptB88vdW,0
108,JVASP-49773,127,P4/mbm,LiTaO3,-2.82215,OptB88vdW,2.446
109,JVASP-3534,129,P4/nmm,BiClO,-1.39849,OptB88vdW,2.87
110,JVASP-15831,122,I-42d,CrS2,-0.43786,OptB88vdW,0
111,JVASP-43424,15,C2/c,Li2MnCuO4,-1.70054,OptB88vdW,0
112,JVASP-64130,216,F-43m,Ba4VMo,1.64033,OptB88vdW,0
113,JVASP-3252,164,P-3m1,Sm2SeO2,-3.24311,OptB88vdW,2.316
114,JVASP-14081,150,P321,PdF3,-1.29169,OptB88vdW,0
115,JVASP-98173,63,Cmcm,HfTlCuS3,-1.10593,OptB88vdW,0.854
116,JVASP-1837,166,R-3m,LiYSe2,-1.80991,OptB88vdW,1.599
117,JVASP-48383,63,Cmcm,NaFePO4,-1.99266,OptB88vdW,0
118,JVASP-18544,187,P-6m2,LiNiN,-0.17665,OptB88vdW,0
119,JVASP-53071,74,Imma,MgIn2O4,-2.06549,OptB88vdW,1.509
120,JVASP-97428,33,Pna2_1,LiH4SNO4,-1.21489,OptB88vdW,5.387
121,JVASP-14997,191,P6/mmm,YbNi5,-0.32266,OptB88vdW,0
122,JVASP-64092,216,F-43m,Ba4TiNb,1.3415,OptB88vdW,0
123,JVASP-43079,194,P6_3/mmc,LiCuS,-0.77246,OptB88vdW,0.967
124,JVASP-64428,216,F-43m,Ba4NaRh,0.69256,OptB88vdW,0
125,JVASP-90580,129,P4/nmm,ZrSn,-0.3674,OptB88vdW,0
126,JVASP-50935,194,P6_3/mmc,AlInO3,-2.48756,OptB88vdW,2.464
127,JVASP-64185,216,F-43m,Ba4ZrTi,1.14031,OptB88vdW,0
128,JVASP-22698,194,P6_3/mmc,LiAgF2,-2.08997,OptB88vdW,1.737
129,JVASP-64004,216,F-43m,Ba4BiTe,-0.30102,OptB88vdW,0
130,JVASP-64783,216,F-43m,Ba4MgGe,0.38165,OptB88vdW,0
131,JVASP-64046,216,F-43m,Ba4LiRh,0.72948,OptB88vdW,0
132,JVASP-37168,221,Pm-3m,YTi,0.35286,OptB88vdW,0
133,JVASP-64315,216,F-43m,KBaNb,1.56875,OptB88vdW,0
134,JVASP-91653,194,P6_3/mmc,Mg3In,-0.07756,OptB88vdW,0
135,JVASP-50807,148,R-3,Ho6ReO12,-3.44532,OptB88vdW,0.026
136,JVASP-86899,193,P6_3/mcm,Zr5Sb4,-0.65847,OptB88vdW,0
137,JVASP-64721,216,F-43m,Ba4NbHg,0.89619,OptB88vdW,0
138,JVASP-50006,160,R3m,RbTaO3,-2.83629,OptB88vdW,2.391
139,JVASP-98438,19,P2_12_12_1,PH5N2O4,-0.69247,OptB88vdW,0
140,JVASP-43622,62,Pnma,AlFeO3,-2.22845,OptB88vdW,0.307
141,JVASP-64515,216,F-43m,Ba4MgIn,0.28297,OptB88vdW,0
142,JVASP-63957,216,F-43m,Ba4MgTc,1.08591,OptB88vdW,0
143,JVASP-52881,12,C2/m,K3CaP2HO8,-2.50095,OptB88vdW,5.395
144,JVASP-98354,148,R-3,Ba9Y2Si6O24,-3.27649,OptB88vdW,4.611
145,JVASP-53435,122,I-42d,Sm2ZnS4,-1.69558,OptB88vdW,1.4
146,JVASP-42398,164,P-3m1,Li2FeO2F,-2.23094,OptB88vdW,0.004
147,JVASP-16930,166,R-3m,VS2,-0.94178,OptB88vdW,0
148,JVASP-50690,136,P4_2/mnm,LiCu2F6,-1.9273,OptB88vdW,0
149,JVASP-90040,189,P-62m,HfSnRh,-0.68843,OptB88vdW,0
150,JVASP-64241,216,F-43m,Ba4HfCl,0.52226,OptB88vdW,0
151,JVASP-43523,10,P2/m,Li4VCr3O8,-2.28643,OptB88vdW,0
152,JVASP-92194,38,Amm2,Mg6ZnFe,0.12011,OptB88vdW,0
153,JVASP-64668,216,F-43m,Ba4ZrPb,0.55506,OptB88vdW,0
154,JVASP-50107,164,P-3m1,Tb2SeO2,-3.31305,OptB88vdW,2.347
155,JVASP-88701,15,C2/c,RbAuN12,0.46758,OptB88vdW,1.476
156,JVASP-47760,2,P-1,Li3CrSiO5,-2.43891,OptB88vdW,1.788
157,JVASP-65020,107,I4mm,BeCuPt,-0.38954,OptB88vdW,0
158,JVASP-91608,221,Pm-3m,Mg3NiO4,-2.43793,OptB88vdW,0
159,JVASP-48576,1,P1,Li5Ti2Co3O10,-2.16451,OptB88vdW,0
160,JVASP-3096,164,P-3m1,Tl2SnF6,-2.35056,OptB88vdW,4.346
161,JVASP-22617,148,R-3,NiSnF6,-2.13396,OptB88vdW,0
162,JVASP-64378,216,F-43m,Ba4BeCr,1.11213,OptB88vdW,0
163,JVASP-85271,164,P-3m1,La2PI2,-1.67055,OptB88vdW,0
164,JVASP-48745,63,Cmcm,LiVCuO4,-1.94734,OptB88vdW,0
165,JVASP-14614,221,Pm-3m,Sb,0.04824,OptB88vdW,0
166,JVASP-5059,189,P-62m,Dy3Mn3Ga2Si,-0.31186,OptB88vdW,0
167,JVASP-52544,15,C2/c,Ba2YBr7,-2.12953,OptB88vdW,3.156
168,JVASP-64862,216,F-43m,Ba4TlZn,0.34567,OptB88vdW,0
169,JVASP-90713,129,P4/nmm,ScNiC2,-0.37021,OptB88vdW,0
170,JVASP-50463,5,C2,Li4CuSi2O7,-2.38655,OptB88vdW,0.692
171,JVASP-97853,1,P1,Sn3PO4F3,-1.94364,OptB88vdW,2.376
172,JVASP-48232,5,C2,LiMn7O12,-1.77785,OptB88vdW,0
173,JVASP-50396,227,Fd-3m,Zr2Bi2O7,-2.59193,OptB88vdW,2.949
174,JVASP-88009,136,P4_2/mnm,WI3O,-0.82599,OptB88vdW,0
175,JVASP-13907,176,P6_3/m,Sr5P3ClO12,-3.08933,OptB88vdW,5.505
176,JVASP-86274,63,Cmcm,Al6Fe,-0.21301,OptB88vdW,0
177,JVASP-44064,12,C2/m,Na2CoO3,-1.47624,OptB88vdW,0
178,JVASP-88825,19,P2_12_12_1,RbHSeO4,-1.14237,OptB88vdW,3.811
179,JVASP-90768,139,I4/mmm,YSn3,-0.41772,OptB88vdW,0
180,JVASP-42657,136,P4_2/mnm,FeO2,-1.39242,OptB88vdW,0
181,JVASP-4492,13,P2/c,LuTaO4,-3.53591,OptB88vdW,4.119
182,JVASP-15181,139,I4/mmm,CeAl2Zn2,-0.40717,OptB88vdW,0
183,JVASP-97576,217,I-43m,Ca4Al6SO12,-3.24073,OptB88vdW,3.685
184,JVASP-98799,2,P-1,VH16C6N6O7F2,-0.76411,OptB88vdW,1.298
185,JVASP-52341,33,Pna2_1,SbOF,-1.86145,OptB88vdW,3.601
186,JVASP-13976,182,P6_322,LiSmAlF6,-3.50227,OptB88vdW,0
187,JVASP-65063,216,F-43m,K4SrBe,0.60385,OptB88vdW,0
188,JVASP-52783,4,P2_1,LiMnPO4,-2.18809,OptB88vdW,2.226
189,JVASP-91890,187,P-6m2,LaMg7,0.01349,OptB88vdW,0
190,JVASP-44255,2,P-1,Co3OF5,-1.65659,OptB88vdW,0
191,JVASP-98090,14,P2_1/c,K2MnP2O7,-2.28697,OptB88vdW,2.601
192,JVASP-91848,65,Cmmm,LaFe5H2,-0.04638,OptB88vdW,0
193,JVASP-48310,2,P-1,FeP3O9,-1.97129,OptB88vdW,0.992
194,JVASP-91794,71,Immm,Sc3RhC4,-0.59624,OptB88vdW,0
195,JVASP-42804,5,C2,V4O3F9,-2.89723,OptB88vdW,0
196,JVASP-86845,6,Pm,NaLi5N2,-0.39393,OptB88vdW,0.683
197,JVASP-97500,62,Pnma,CoIN2O2,-0.19644,OptB88vdW,1.275
198,JVASP-52477,15,C2/c,Na2TiO3,-2.63322,OptB88vdW,3.235
199,JVASP-15431,71,Immm,Li2CuO2,-1.55369,OptB88vdW,0
200,JVASP-48462,123,P4/mmm,Li3CoOF3,-2.49145,OptB88vdW,0
201,JVASP-91939,194,P6_3/mmc,TiCo3,-0.26241,OptB88vdW,0
202,JVASP-14740,194,P6_3/mmc,C,0,OptB88vdW,0
203,JVASP-47623,95,P4_322,LiFeCoO4,-1.49471,OptB88vdW,0
204,JVASP-85447,166,R-3m,BaNiF6,-2.59956,OptB88vdW,1.281
205,JVASP-90336,225,Fm-3m,Sr2H6Os,-0.62937,OptB88vdW,2.398
206,JVASP-107736,123,P4/mmm,TiAlNi6,-0.50654,OptB88vdW,0
207,JVASP-41360,225,Fm-3m,HfScCo2,-0.45447,OptB88vdW,0
208,JVASP-42721,12,C2/m,LiFe2O2F3,-2.02306,OptB88vdW,0
209,JVASP-65102,216,F-43m,BeTl4W,1.45878,OptB88vdW,0
210,JVASP-86779,166,R-3m,Ni2Sn4Au,-0.206,OptB88vdW,0
211,JVASP-86678,141,I4_1/amd,NdMgSi2,-0.51564,OptB88vdW,0
212,JVASP-64585,216,F-43m,Ba4LaGe,0.44903,OptB88vdW,0
213,JVASP-49949,227,Fd-3m,Ce2Nd2O7,-3.58436,OptB88vdW,2.253
214,JVASP-91746,63,Cmcm,YbIn2Pt,-0.78133,OptB88vdW,0
215,JVASP-97379,14,P2_1/c,KGaCl4,-1.54325,OptB88vdW,4.145
216,JVASP-86369,191,P6/mmm,LaZn5,-0.32413,OptB88vdW,0
217,JVASP-91989,194,P6_3/mmc,Tc3Pd,-0.07592,OptB88vdW,0
218,JVASP-86026,139,I4/mmm,La4Ni3O8,-2.66858,OptB88vdW,0
219,JVASP-85365,123,P4/mmm,Fe11Co5,-0.02333,OptB88vdW,0
220,JVASP-42540,5,C2,Mn6O7F5,-2.045,OptB88vdW,0
221,JVASP-88121,14,P2_1/c,TbB3O6,-2.94556,OptB88vdW,5.39
222,JVASP-48645,76,P4_1,VOF3,-2.66891,OptB88vdW,2.815
223,JVASP-90812,166,R-3m,PrAlH6,-0.3662,OptB88vdW,2.332
224,JVASP-48922,2,P-1,Li2Mn2F7,-2.70704,OptB88vdW,0.159
225,JVASP-88347,148,R-3,P6H24N6O19,-1.15637,OptB88vdW,0
226,JVASP-38346,221,Pm-3m,RbAlO3,-1.81118,OptB88vdW,0
227,JVASP-85665,164,P-3m1,Ba2MgH6,-0.55323,OptB88vdW,2.988
228,JVASP-38540,221,Pm-3m,LiYO3,-2.12237,OptB88vdW,0
229,JVASP-4591,148,R-3,Tl6TeO6,-0.85133,OptB88vdW,1.561
230,JVASP-86570,31,Pmn2_1,RePbClO4,-1.59866,OptB88vdW,3.172
231,JVASP-38312,221,Pm-3m,RbF3,-1.28311,OptB88vdW,0
232,JVASP-98226,14,P2_1/c,RbBi,-0.44628,OptB88vdW,0.413
233,JVASP-85785,7,Pc,KH2I3O,-0.88515,OptB88vdW,1.811
234,JVASP-87103,63,Cmcm,HoCoSi2,-0.74274,OptB88vdW,0
235,JVASP-38306,221,Pm-3m,RbLiO3,-0.50274,OptB88vdW,0
236,JVASP-42221,1,P1,V2O3F,-2.65354,OptB88vdW,0
237,JVASP-85713,26,Pmc2_1,LiHS,-0.84152,OptB88vdW,3.501
238,JVASP-87207,14,P2_1/c,MnSe2O6,-1.13327,OptB88vdW,1.364
239,JVASP-90168,189,P-62m,UInPt,-0.47845,OptB88vdW,0
240,JVASP-37035,216,F-43m,TiFeCoAs,-0.34463,OptB88vdW,0
241,JVASP-97801,127,P4/mbm,Yb2InCu2,-0.47749,OptB88vdW,0
242,JVASP-64946,216,F-43m,BeNi4Ru,0.21646,OptB88vdW,0
243,JVASP-85922,72,Ibam,Eu2I2O,-1.88116,OptB88vdW,0
244,JVASP-98932,62,Pnma,NaH2SO4,-1.42011,OptB88vdW,5.239
245,JVASP-85852,14,P2_1/c,Ag3O4,-0.16218,OptB88vdW,0
246,JVASP-14575,225,Fm-3m,CeN,-1.66792,OptB88vdW,0
247,JVASP-98701,123,P4/mmm,LaIn5Co,-0.30722,OptB88vdW,0
248,JVASP-22644,156,P3m1,SiC,-0.2438,OptB88vdW,2.273
249,JVASP-64188,216,F-43m,Ba4ZrCu,0.94359,OptB88vdW,0
250,JVASP-88512,60,Pbcn,Nb2FeO6,-2.33628,OptB88vdW,0.266
251,JVASP-90627,198,P2_13,SiNi,-0.28064,OptB88vdW,0
252,JVASP-86502,12,C2/m,ThTi2O6,-3.55196,OptB88vdW,2.966
253,JVASP-63915,216,F-43m,Ba4TaCo,1.49863,OptB88vdW,0
254,JVASP-37194,216,F-43m,Mn2SiRu,-0.28167,OptB88vdW,0
255,JVASP-37189,225,Fm-3m,Mn3Ga,0.06965,OptB88vdW,0
256,JVASP-37044,225,Fm-3m,TiFe2As,-0.33344,OptB88vdW,0
257,JVASP-38278,221,Pm-3m,RbZnO3,-0.67651,OptB88vdW,0
258,JVASP-19857,225,Fm-3m,ThN,-1.76502,OptB88vdW,0
259,JVASP-38694,221,Pm-3m,NaSrO3,-1.13947,OptB88vdW,0
260,JVASP-37946,139,I4/mmm,Co3Bi,0.44331,OptB88vdW,0
261,JVASP-37051,216,F-43m,Ti2GaFe,-0.24587,OptB88vdW,0
262,JVASP-38325,221,Pm-3m,RbNiO3,-0.67483,OptB88vdW,0
263,JVASP-64005,216,F-43m,BaNaSc,0.90168,OptB88vdW,0
264,JVASP-15056,221,Pm-3m,HoAg,-0.37346,OptB88vdW,0
265,JVASP-38317,139,I4/mmm,RbF3,-1.27512,OptB88vdW,0
266,JVASP-64131,216,F-43m,Ba4CuSe,0.2644,OptB88vdW,0
267,JVASP-37031,225,Fm-3m,TiFe2Sb,-0.23465,OptB88vdW,0
268,JVASP-98615,186,P6_3mc,Ca3La3B5O15,-3.27414,OptB88vdW,4.294
269,JVASP-14789,225,Fm-3m,NdTe,-1.46013,OptB88vdW,0
270,JVASP-98038,173,P6_3,La3CuSnS7,-1.71488,OptB88vdW,1.685
271,JVASP-28636,156,P3m1,MoWSe2S2,-0.7351,OptB88vdW,0.586
272,JVASP-97916,26,Pmc2_1,RbCrF5,-2.80415,OptB88vdW,0
273,JVASP-18944,225,Fm-3m,LaAs,-1.63611,OptB88vdW,0
274,JVASP-64985,119,I-4m2,Be2RuPb,0.41383,OptB88vdW,0
275,JVASP-64784,216,F-43m,Ba4NiBr,0.49424,OptB88vdW,0
276,JVASP-64093,216,F-43m,BaSrCd,0.2523,OptB88vdW,0
277,JVASP-98551,185,P6_3cm,TmFeO3,-2.65468,OptB88vdW,0
278,JVASP-39448,221,Pm-3m,RuPbO3,-1.1063,OptB88vdW,0
279,JVASP-37049,216,F-43m,Ti2GaNi,-0.2525,OptB88vdW,0
280,JVASP-15260,216,F-43m,Li2GaPt,-0.69134,OptB88vdW,0
281,JVASP-64429,216,F-43m,Ba4LiSn,0.22923,OptB88vdW,0
282,JVASP-87040,15,C2/c,VP4,-0.3635,OptB88vdW,0
283,JVASP-16080,225,Fm-3m,Mn,0.07558,OptB88vdW,0
284,JVASP-14914,123,P4/mmm,Si2Ru,-0.29383,OptB88vdW,0
285,JVASP-37042,225,Fm-3m,Ti3Ge,-0.25899,OptB88vdW,0
286,JVASP-107773,123,P4/mmm,Ca3CdO4,-2.77374,OptB88vdW,1.85
287,JVASP-50760,19,P2_12_12_1,LiAgF2,-2.06912,OptB88vdW,1.584
288,JVASP-37191,216,F-43m,Mn2SnRu,0.0907,OptB88vdW,0
289,JVASP-37039,225,Fm-3m,Ti3Sn,-0.17272,OptB88vdW,0
290,JVASP-97337,136,P4_2/mnm,Na3Hg2,-0.17095,OptB88vdW,0
291,JVASP-64316,216,F-43m,Ba4NbFe,1.56755,OptB88vdW,0
292,JVASP-37104,216,F-43m,Sc2MnGe,-0.19439,OptB88vdW,0
293,JVASP-64047,216,F-43m,Ba4LaTc,1.11468,OptB88vdW,0
294,JVASP-38842,225,Fm-3m,MgMnRh2,-0.30028,OptB88vdW,0
295,JVASP-64528,216,F-43m,Ba4LiPb,0.23283,OptB88vdW,0
296,JVASP-64244,216,F-43m,Ba4HfCu,1.02361,OptB88vdW,0
297,JVASP-14830,229,Im-3m,W,0,OptB88vdW,0
298,JVASP-64379,216,F-43m,Ba4TlTe,-0.04958,OptB88vdW,0
299,JVASP-98439,14,P2_1/c,CdH4S2O5,-1.03375,OptB88vdW,3.169
300,JVASP-37057,216,F-43m,Ti2InNi,-0.09282,OptB88vdW,0
301,JVASP-63958,216,F-43m,Ba4BiPd,0.18018,OptB88vdW,0
302,JVASP-64670,216,F-43m,Ba4TiSe,0.46016,OptB88vdW,0
303,JVASP-97854,1,P1,AgNO3,-0.10368,OptB88vdW,0.861
304,JVASP-11958,14,P2_1/c,Al9Co2,-0.35191,OptB88vdW,0
305,JVASP-36885,221,Pm-3m,TlCoF3,-1.84964,OptB88vdW,0
306,JVASP-97988,139,I4/mmm,HoMn12,-0.02471,OptB88vdW,0
307,JVASP-1750,216,F-43m,ErSbPd,-1.10797,OptB88vdW,0.214
308,JVASP-64724,216,F-43m,Ba4GaCu,0.58324,OptB88vdW,0
309,JVASP-36782,12,C2/m,MnAgO2,-1.22149,OptB88vdW,0
310,JVASP-64865,216,F-43m,Ba4ScNb,1.14257,OptB88vdW,0
311,JVASP-36857,12,C2/m,MnAuO2,-1.15603,OptB88vdW,0
312,JVASP-37583,225,Fm-3m,VFeRu2,-0.07385,OptB88vdW,0
313,JVASP-39364,221,Pm-3m,Ni3Hg,0.28546,OptB88vdW,0
314,JVASP-98496,19,P2_12_12_1,Li3P7,-0.42434,OptB88vdW,1.8
315,JVASP-28962,156,P3m1,TeMoWSe2S,-0.49652,OptB88vdW,0.44
316,JVASP-64907,119,I-4m2,Be2TlIr,0.30087,OptB88vdW,0
317,JVASP-65023,216,F-43m,Mg4BeRu,0.61273,OptB88vdW,0
318,JVASP-36850,166,R-3m,MnAgO2,-1.21096,OptB88vdW,0
319,JVASP-91700,51,Pmma,B2CN,-0.53074,OptB88vdW,0
320,JVASP-36853,166,R-3m,MnAuO2,-1.14822,OptB88vdW,0
321,JVASP-98174,64,Cmce,Na2LiAlP2,-0.75957,OptB88vdW,1.961
322,JVASP-107737,123,P4/mmm,Ti4CuAg,-0.10614,OptB88vdW,0
323,JVASP-90429,194,P6_3/mmc,K3Sb,-0.50344,OptB88vdW,0.477
324,JVASP-323,164,P-3m1,TiS2,-1.42034,OptB88vdW,0
325,JVASP-97429,19,P2_12_12_1,CdP2O6,-2.03639,OptB88vdW,3.786
326,JVASP-89958,189,P-62m,PrMgAg,-0.285,OptB88vdW,0
327,JVASP-37300,221,Pm-3m,SrCaO3,-2.02424,OptB88vdW,0
328,JVASP-38181,221,Pm-3m,KInO3,-1.04267,OptB88vdW,0
329,JVASP-1198,216,F-43m,ZnTe,-0.45889,OptB88vdW,1.057
330,JVASP-38289,221,Pm-3m,RbSrO3,-1.14494,OptB88vdW,0
331,JVASP-37387,221,Pm-3m,Th3U,0.25005,OptB88vdW,0
