sample_id,density,youngs_modulus,thermal_conductivity,service_temp,material_class
M040,3.908,92.9,87.43,1370.0,Semiconductor
M041,9.03,151.6,93.66,1368.0,Metal
M042,3.172,436.9,7.88,1556.0,Ceramic
M043,8.851,164.6,94.31,1450.0,Metal
M044,1.05,2.9,0.24,240.0,Polymer
M045,6.458,142.7,80.21,988.0,Metal
M046,8.403,126.6,106.41,1439.0,Metal
M047,1.332,0.5,0.38,172.0,Polymer
M048,3.444,304.8,35.54,1875.0,Ceramic
M049,10.798,146.5,34.07,1716.0,Metal
M050,3.489,421.8,28.99,1937.0,Ceramic
M051,1.433,4.1,0.05,231.0,Polymer
M052,1.178,2.9,0.22,269.0,Polymer
M053,1.673,0.5,0.4,215.0,Polymer
M054,5.11,71.7,108.15,1219.0,Semiconductor
M055,3.62,104.0,107.56,1517.0,Semiconductor
M056,8.312,178.7,105.57,1690.0,Metal
M057,9.117,185.2,89.19,1124.0,Metal
M058,2.951,284.8,37.81,1991.0,Ceramic
M059,2.387,163.8,110.34,1820.0,Semiconductor
M060,4.045,467.1,13.4,2253.0,Ceramic
M061,6.847,127.2,131.91,1355.0,Metal
M062,3.152,322.5,1.58,2154.0,Ceramic
M063,4.56,150.1,138.05,1144.0,Semiconductor
M064,8.378,72.7,90.95,1559.0,Metal
M065,1.228,2.4,0.44,194.0,Polymer
M066,1.49,132.3,89.75,1345.0,Semiconductor
M067,1.527,2.1,0.37,231.0,Polymer
M068,1.107,0.5,0.11,171.0,Polymer
M069,2.636,310.1,15.85,2273.0,Ceramic
M070,9.031,113.4,116.41,1112.0,Metal
M071,4.33,95.4,108.32,1130.0,Semiconductor
M072,1.236,3.0,0.23,153.0,Polymer
M073,7.231,163.4,44.88,1053.0,Metal
M074,8.316,167.2,130.55,1201.0,Metal
M075,1.132,1.2,0.44,260.0,Polymer
M076,6.344,107.4,145.7,1101.0,Metal
M077,4.621,126.7,31.42,1243.0,Semiconductor
M078,4.029,173.0,61.17,1386.0,Semiconductor
M079,3.534,114.9,76.65,1487.0,Semiconductor
M080,6.606,161.7,132.37,1299.0,Metal
M081,5.069,135.4,148.61,1255.0,Metal
M082,2.57,396.1,4.72,2227.0,Ceramic
M083,1.235,2.1,0.48,116.0,Polymer
M084,0.903,4.3,0.39,128.0,Polymer
M085,0.95,3.9,0.35,168.0,Polymer
M086,3.327,296.9,38.68,2133.0,Ceramic
M087,1.084,3.0,0.31,269.0,Polymer
M088,4.288,282.7,34.05,2751.0,Ceramic
M089,3.71,365.7,13.99,2041.0,Ceramic
M090,2.548,148.7,147.83,1337.0,Semiconductor
M091,7.2,129.0,131.63,1094.0,Metal
M092,2.428,327.4,18.37,1673.0,Ceramic
M093,1.29,2.1,0.28,244.0,Polymer
M094,0.939,3.6,0.26,85.0,Polymer
M095,4.24,157.2,137.69,1513.0,Semiconductor
M096,3.691,360.1,24.46,1871.0,Ceramic
M097,7.73,165.3,92.82,1218.0,Metal
M098,7.979,107.0,52.59,1261.0,Metal
M099,2.875,362.1,2.08,2172.0,Ceramic
M100,1.102,2.2,0.29,171.0,Polymer
M101,8.227,119.5,142.01,1019.0,Metal
M102,3.89,314.0,22.05,1761.0,Ceramic
M103,7.357,166.0,59.0,1534.0,Metal
M104,3.031,279.7,0.05,1981.0,Ceramic
M105,1.807,113.6,139.24,902.0,Semiconductor
M106,4.324,163.2,81.74,1072.0,Semiconductor
M107,2.889,300.3,7.26,2268.0,Ceramic
M108,7.776,169.7,68.62,1117.0,Metal
M109,1.013,4.6,0.31,320.0,Polymer
M110,4.998,341.4,17.94,1944.0,Ceramic
M111,3.938,121.0,101.41,1266.0,Semiconductor
M112,1.219,3.2,0.34,213.0,Polymer
M113,1.126,2.7,0.52,196.0,Polymer
M114,3.682,116.7,83.27,934.0,Semiconductor
M115,8.455,174.9,138.15,1459.0,Metal
M116,3.26,410.8,12.19,1760.0,Ceramic
M117,1.364,3.0,0.49,80.0,Polymer
M118,4.076,128.3,139.58,1301.0,Semiconductor
M119,7.584,114.4,110.56,1290.0,Metal
M120,1.15,3.5,0.15,192.0,Polymer
M121,0.972,2.8,0.16,146.0,Polymer
M122,3.406,84.2,12.08,1391.0,Semiconductor
M123,7.307,199.8,130.09,1395.0,Metal
M124,1.106,2.6,0.39,229.0,Polymer
M125,3.787,282.6,25.73,2562.0,Ceramic
